time,Ca,Cu,CL_BoNet
6.85,0.00543004,0.473614738,0.000864201
6.875,0.005431849,0.473773844,0.000868405
6.9,0.005433639,0.473931333,0.000872611
6.925,0.005435412,0.474087231,0.000876817
6.95,0.005437167,0.474241563,0.000881024
6.975,0.005438905,0.474394357,0.000885232
7,0.005440625,0.474545635,0.000889441
7.025,0.005442329,0.474695425,0.000893651
7.05,0.005444016,0.474843749,0.000897862
7.075,0.005445687,0.474990631,0.000902074
7.1,0.005447341,0.475136096,0.000906287
7.125,0.00544898,0.475280166,0.000910501
7.15,0.005450603,0.475422864,0.000914716
7.175,0.005452212,0.475564213,0.000918931
7.2,0.005453805,0.475704234,0.000923148
7.225,0.005455383,0.475842949,0.000927365
7.25,0.005456947,0.475980379,0.000931583
7.275,0.005458496,0.476116546,0.000935802
7.3,0.005460032,0.476251469,0.000940021
7.325,0.005461553,0.47638517,0.000944242
7.35,0.005463061,0.476517667,0.000948463
7.375,0.005464556,0.476648981,0.000952685
7.4,0.005466037,0.476779131,0.000956908
7.425,0.005467506,0.476908136,0.000961132
7.45,0.005468961,0.477036013,0.000965356
7.475,0.005470405,0.477162783,0.000969581
7.5,0.005471835,0.477288461,0.000973807
7.525,0.005473254,0.477413067,0.000978033
7.55,0.005474661,0.477536618,0.00098226
7.575,0.005476056,0.47765913,0.000986488
7.6,0.005477439,0.477780621,0.000990717
7.625,0.005478811,0.477901107,0.000994946
7.65,0.005480172,0.478020605,0.000999176
7.675,0.005481522,0.478139129,0.001003407
7.7,0.005482861,0.478256697,0.001007638
7.725,0.005484189,0.478373323,0.00101187
7.75,0.005485507,0.478489024,0.001016103
7.775,0.005486815,0.478603812,0.001020336
7.8,0.005488112,0.478717705,0.001024569
7.825,0.0054894,0.478830715,0.001028804
7.85,0.005490677,0.478942857,0.001033039
7.875,0.005491945,0.479054145,0.001037274
7.9,0.005493204,0.479164593,0.001041511
7.925,0.005494453,0.479274215,0.001045747
7.95,0.005495693,0.479383023,0.001049985
7.975,0.005496924,0.479491031,0.001054223
8,0.005498146,0.479598252,0.001058461
8.025,0.005499359,0.479704698,0.0010627
8.05,0.005500563,0.479810382,0.00106694
8.075,0.00550176,0.479915315,0.00107118
8.1,0.005502947,0.480019511,0.00107542
8.125,0.005504127,0.48012298,0.001079662
8.15,0.005505298,0.480225735,0.001083903
8.175,0.005506462,0.480327787,0.001088145
8.2,0.005507617,0.480429147,0.001092388
8.225,0.005508765,0.480529826,0.001096631
8.25,0.005509906,0.480629835,0.001100875
8.275,0.005511038,0.480729185,0.001105119
8.3,0.005512164,0.480827886,0.001109364
8.325,0.005513282,0.480925949,0.001113609
8.35,0.005514393,0.481023383,0.001117854
8.375,0.005515498,0.4811202,0.0011221
8.4,0.005516595,0.481216408,0.001126347
8.425,0.005517685,0.481312017,0.001130594
8.45,0.005518769,0.481407037,0.001134841
8.475,0.005519847,0.481501478,0.001139089
8.5,0.005520918,0.481595348,0.001143337
8.525,0.005521982,0.481688656,0.001147586
8.55,0.00552304,0.481781411,0.001151835
8.575,0.005524092,0.481873623,0.001156085
8.6,0.005525138,0.4819653,0.001160335
8.625,0.005526178,0.482056449,0.001164585
8.65,0.005527213,0.48214708,0.001168836
8.675,0.005528241,0.482237201,0.001173087
8.7,0.005529264,0.48232682,0.001177339
8.725,0.005530281,0.482415944,0.001181591
8.75,0.005531293,0.482504581,0.001185843
8.775,0.005532299,0.48259274,0.001190096
8.8,0.0055333,0.482680427,0.001194349
8.825,0.005534295,0.48276765,0.001198602
8.85,0.005535286,0.482854416,0.001202856
8.875,0.005536271,0.482940733,0.00120711
8.9,0.005537251,0.483026608,0.001211365
8.925,0.005538227,0.483112046,0.00121562
8.95,0.005539197,0.483197056,0.001219875
8.975,0.005540163,0.483281644,0.001224131
9,0.005541124,0.483365817,0.001228387
9.025,0.005542081,0.48344958,0.001232643
9.05,0.005543033,0.48353294,0.0012369
9.075,0.00554398,0.483615905,0.001241157
9.1,0.005544923,0.483698479,0.001245414
9.125,0.005545862,0.483780668,0.001249672
9.15,0.005546796,0.48386248,0.00125393
9.175,0.005547726,0.483943919,0.001258188
9.2,0.005548652,0.484024991,0.001262447
9.225,0.005549574,0.484105703,0.001266706
9.25,0.005550492,0.484186059,0.001270965
9.275,0.005551406,0.484266065,0.001275225
9.3,0.005552316,0.484345727,0.001279485
9.325,0.005553222,0.484425049,0.001283745
9.35,0.005554124,0.484504038,0.001288005
9.375,0.005555023,0.484582697,0.001292266
9.4,0.005555918,0.484661033,0.001296527
9.425,0.005556809,0.48473905,0.001300789
9.45,0.005557697,0.484816752,0.00130505
9.475,0.005558582,0.484894146,0.001309312
9.5,0.005559462,0.484971235,0.001313575
9.525,0.00556034,0.485048024,0.001317837
9.55,0.005561214,0.485124518,0.0013221
9.575,0.005562085,0.485200721,0.001326363
9.6,0.005562953,0.485276637,0.001330626
9.625,0.005563817,0.485352272,0.00133489
9.65,0.005564678,0.485427628,0.001339154
9.675,0.005565536,0.485502711,0.001343418
9.7,0.005566391,0.485577524,0.001347682
9.725,0.005567244,0.485652072,0.001351947
9.75,0.005568093,0.485726359,0.001356212
9.775,0.005568939,0.485800388,0.001360477
9.8,0.005569782,0.485874163,0.001364742
9.825,0.005570623,0.485947688,0.001369008
9.85,0.005571461,0.486020967,0.001373274
9.875,0.005572296,0.486094004,0.00137754
9.9,0.005573128,0.486166802,0.001381806
9.925,0.005573957,0.486239364,0.001386073
9.95,0.005574784,0.486311695,0.00139034
9.975,0.005575609,0.486383797,0.001394607
10,0.005576431,0.486455674,0.001398874
10.025,0.00557725,0.48652733,0.001403142
10.05,0.005578067,0.486598767,0.00140741
10.075,0.005578881,0.486669989,0.001411678
10.1,0.005579693,0.486740998,0.001415946
10.125,0.005580503,0.486811799,0.001420215
10.15,0.00558131,0.486882394,0.001424483
10.175,0.005582115,0.486952786,0.001428752
10.2,0.005582918,0.487022978,0.001433021
10.225,0.005583719,0.487092973,0.001437291
10.25,0.005584517,0.487162773,0.00144156
10.275,0.005585313,0.487232383,0.00144583
10.3,0.005586107,0.487301803,0.0014501
10.325,0.005586899,0.487371038,0.00145437
10.35,0.005587689,0.48744009,0.001458641
10.375,0.005588477,0.487508961,0.001462911
10.4,0.005589262,0.487577654,0.001467182
10.425,0.005590046,0.487646172,0.001471453
10.45,0.005590828,0.487714516,0.001475724
10.475,0.005591608,0.48778269,0.001479996
10.5,0.005592386,0.487850697,0.001484268
10.525,0.005593162,0.487918537,0.001488539
10.55,0.005593936,0.487986214,0.001492811
10.575,0.005594709,0.48805373,0.001497084
10.6,0.005595479,0.488121087,0.001501356
10.625,0.005596248,0.488188288,0.001505629
10.65,0.005597015,0.488255334,0.001509901
10.675,0.005597781,0.488322229,0.001514174
10.7,0.005598544,0.488388973,0.001518448
10.725,0.005599306,0.488455569,0.001522721
10.75,0.005600067,0.488522019,0.001526994
10.775,0.005600825,0.488588325,0.001531268
10.8,0.005601583,0.488654489,0.001535542
10.825,0.005602338,0.488720514,0.001539816
10.85,0.005603092,0.4887864,0.00154409
10.875,0.005603844,0.48885215,0.001548365
10.9,0.005604595,0.488917766,0.001552639
10.925,0.005605345,0.488983249,0.001556914
10.95,0.005606093,0.489048601,0.001561189
10.975,0.005606839,0.489113825,0.001565464
11,0.005607584,0.489178921,0.00156974
11.025,0.005608328,0.489243892,0.001574015
11.05,0.00560907,0.489308739,0.001578291
11.075,0.005609811,0.489373464,0.001582567
11.1,0.00561055,0.489438069,0.001586843
11.125,0.005611288,0.489502554,0.001591119
11.15,0.005612025,0.489566923,0.001595395
11.175,0.00561276,0.489631175,0.001599672
11.2,0.005613494,0.489695313,0.001603948
11.225,0.005614227,0.489759338,0.001608225
11.25,0.005614959,0.489823252,0.001612502
11.275,0.005615689,0.489887056,0.001616779
11.3,0.005616418,0.489950752,0.001621056
11.325,0.005617146,0.490014341,0.001625334
11.35,0.005617873,0.490077824,0.001629611
11.375,0.005618598,0.490141203,0.001633889
11.4,0.005619323,0.490204478,0.001638167
11.425,0.005620046,0.490267653,0.001642445
11.45,0.005620768,0.490330726,0.001646723
11.475,0.005621489,0.490393701,0.001651002
11.5,0.005622209,0.490456578,0.00165528
11.525,0.005622928,0.490519358,0.001659559
11.55,0.005623645,0.490582043,0.001663838
11.575,0.005624362,0.490644634,0.001668117
11.6,0.005625077,0.490707131,0.001672396
11.625,0.005625792,0.490769537,0.001676675
11.65,0.005626505,0.490831852,0.001680955
11.675,0.005627218,0.490894078,0.001685234
11.7,0.005627929,0.490956215,0.001689514
11.725,0.005628639,0.491018264,0.001693794
11.75,0.005629349,0.491080227,0.001698074
11.775,0.005630057,0.491142105,0.001702354
11.8,0.005630765,0.491203898,0.001706634
11.825,0.005631472,0.491265608,0.001710914
11.85,0.005632177,0.491327236,0.001715195
11.875,0.005632882,0.491388782,0.001719476
11.9,0.005633586,0.491450248,0.001723757
11.925,0.005634289,0.491511634,0.001728038
11.95,0.005634991,0.491572942,0.001732319
11.975,0.005635692,0.491634173,0.0017366
12,0.005636392,0.491695326,0.001740881
12.025,0.005637091,0.491756404,0.001745163
12.05,0.00563779,0.491817407,0.001749444
12.075,0.005638488,0.491878336,0.001753726
12.1,0.005639185,0.491939192,0.001758008
12.125,0.005639881,0.491999975,0.00176229
12.15,0.005640576,0.492060687,0.001766572
12.175,0.00564127,0.492121327,0.001770855
12.2,0.005641964,0.492181898,0.001775137
12.225,0.005642657,0.4922424,0.00177942
12.25,0.005643349,0.492302833,0.001783702
12.275,0.00564404,0.492363199,0.001787985
12.3,0.005644731,0.492423497,0.001792268
12.325,0.00564542,0.49248373,0.001796551
12.35,0.00564611,0.492543896,0.001800834
12.375,0.005646798,0.492603998,0.001805118
12.4,0.005647485,0.492664036,0.001809401
12.425,0.005648172,0.492724011,0.001813685
12.45,0.005648858,0.492783923,0.001817968
12.475,0.005649544,0.492843772,0.001822252
12.5,0.005650229,0.49290356,0.001826536
12.525,0.005650913,0.492963288,0.00183082
12.55,0.005651596,0.493022955,0.001835104
12.575,0.005652279,0.493082563,0.001839389
12.6,0.005652961,0.493142112,0.001843673
12.625,0.005653642,0.493201602,0.001847958
12.65,0.005654323,0.493261035,0.001852242
12.675,0.005655003,0.49332041,0.001856527
12.7,0.005655682,0.493379729,0.001860812
12.725,0.005656361,0.493438992,0.001865097
12.75,0.005657039,0.4934982,0.001869382
12.775,0.005657717,0.493557352,0.001873667
12.8,0.005658394,0.49361645,0.001877953
12.825,0.00565907,0.493675494,0.001882238
12.85,0.005659746,0.493734485,0.001886524
12.875,0.005660421,0.493793424,0.00189081
12.9,0.005661095,0.493852309,0.001895096
12.925,0.005661769,0.493911143,0.001899381
12.95,0.005662442,0.493969926,0.001903668
12.975,0.005663115,0.494028658,0.001907954
13,0.005663787,0.494087339,0.00191224
13.025,0.005664459,0.49414597,0.001916526
13.05,0.00566513,0.494204552,0.001920813
13.075,0.0056658,0.494263085,0.0019251
13.1,0.00566647,0.49432157,0.001929386
13.125,0.00566714,0.494380006,0.001933673
13.15,0.005667808,0.494438394,0.00193796
13.175,0.005668477,0.494496736,0.001942247
13.2,0.005669144,0.49455503,0.001946534
13.225,0.005669812,0.494613278,0.001950822
13.25,0.005670478,0.49467148,0.001955109
13.275,0.005671145,0.494729636,0.001959396
13.3,0.00567181,0.494787747,0.001963684
13.325,0.005672475,0.494845813,0.001967972
13.35,0.00567314,0.494903835,0.00197226
13.375,0.005673804,0.494961812,0.001976548
13.4,0.005674468,0.495019746,0.001980836
13.425,0.005675131,0.495077636,0.001985124
13.45,0.005675794,0.495135483,0.001989412
13.475,0.005676456,0.495193288,0.0019937
13.5,0.005677117,0.49525105,0.001997989
13.525,0.005677779,0.49530877,0.002002277
13.55,0.005678439,0.495366448,0.002006566
13.575,0.0056791,0.495424086,0.002010855
13.6,0.005679759,0.495481682,0.002015144
13.625,0.005680419,0.495539237,0.002019432
13.65,0.005681078,0.495596752,0.002023722
13.675,0.005681736,0.495654227,0.002028011
13.7,0.005682394,0.495711662,0.0020323
13.725,0.005683052,0.495769058,0.002036589
13.75,0.005683709,0.495826414,0.002040879
13.775,0.005684365,0.495883732,0.002045168
13.8,0.005685021,0.495941011,0.002049458
13.825,0.005685677,0.495998252,0.002053748
13.85,0.005686333,0.496055454,0.002058038
13.875,0.005686987,0.496112619,0.002062328
13.9,0.005687642,0.496169747,0.002066618
13.925,0.005688296,0.496226837,0.002070908
13.95,0.00568895,0.49628389,0.002075198
